root,m_lemma,m_gender,m_definition,f_lemma,f_gender,f_definition,n_lemma,n_gender,n_definition
stein,young_man,PPN,United States civil engineer noted for designing suspension bridges (including the George Washington Bridge) (1886-1960),steinwoman,,,steinman,PPN,United States civil engineer noted for designing suspension bridges (including the George Washington Bridge) (1886-1960)
stickup_,young_man,N,an armed thief,stickup_woman,,,stickup_man,N,an armed thief
stock,young_man,N,farmer who breed or raises livestock,stockwoman,,,stockman,N,farmer who breed or raises livestock
straight_,young_man,N,a performer who acts as stooge to a comedian,straight_woman,,,straight_man,N,a performer who acts as stooge to a comedian
straw_,young_man,N,a person used as a cover for some questionable activity,straw_woman,,,straw_man,N,a person used as a cover for some questionable activity
straw,young_man,N,a person used as a cover for some questionable activity,strawwoman,,,strawman,N,a person used as a cover for some questionable activity
strong,young_man,M,a man who performs feats of strength at a fair or circus,strongwoman,,,strongman,M,a man who performs feats of strength at a fair or circus
super,young_man,N,a person with great powers and abilities,superwoman,,,superman,N,a person with great powers and abilities
swag,young_man,N,an itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work,swagwoman,,,swagman,N,an itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work
switch,young_man,M,a man who operates railroad switches,switchwoman,,,switchman,M,a man who operates railroad switches
swords,young_man,N,someone skilled at fencing,swordswoman,,,swordsman,N,someone skilled at fencing
t-,young_man,N,a special law-enforcement agent of the United States Treasury,t-woman,,,t-man,N,a special law-enforcement agent of the United States Treasury
tally,young_man,N,one who sells goods on the installment plan,tallywoman,,,tallyman,N,one who sells goods on the installment plan
tas,young_man,PPN,Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659),taswoman,,,tasman,PPN,Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
taxi,young_man,N,someone who drives a taxi for a living,taxiwoman,,,taximan,N,someone who drives a taxi for a living
tax,young_man,N,someone who collects taxes for the government,taxwoman,,,taxman,N,someone who collects taxes for the government
third_base,young_man,,(baseball) the person who plays third base,third_basewoman,,,third_baseman,,(baseball) the person who plays third base
timber,young_man,,an owner or manager of a company that is engaged in lumbering,timberwoman,,,timberman,,an owner or manager of a company that is engaged in lumbering
toll,young_man,N,someone employed to collect tolls,tollwoman,,,tollman,N,someone employed to collect tolls
towns,young_man,N,a person from the same town as yourself,townswoman,,,townsman,N,a person from the same town as yourself
trades,young_man,N,a merchant who owns or manages a shop,tradeswoman,,,tradesman,N,a merchant who owns or manages a shop
trainbands,young_man,N,a member of a trainband,trainbandswoman,,,trainbandsman,N,a member of a trainband
train,young_man,N,an employee of a railroad,trainwoman,,,trainman,N,an employee of a railroad
traveling_sales,young_man,M,a salesman who travels to call on customers,traveling_saleswoman,,,traveling_salesman,M,a salesman who travels to call on customers
travelling_sales,young_man,M,a salesman who travels to call on customers,travelling_saleswoman,,,travelling_salesman,M,a salesman who travels to call on customers
trencher,young_man,N,a person who is devoted to eating and drinking to excess,trencherwoman,,,trencherman,N,a person who is devoted to eating and drinking to excess
tribes,young_man,N,someone who lives in a tribe,tribeswoman,,,tribesman,N,someone who lives in a tribe
trigger,young_man,N,a professional killer who uses a gun,triggerwoman,,,triggerman,N,a professional killer who uses a gun
tru,young_man,PPN,elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972),truwoman,,,truman,PPN,elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972)
tub,young_man,PPN,United States abolitionist born a slave on a plantation in Maryland and became a famous conductor on the Underground Railroad leading other slaves to freedom in the North (1820-1913),tubwoman,,,tubman,PPN,United States abolitionist born a slave on a plantation in Maryland and became a famous conductor on the Underground Railroad leading other slaves to freedom in the North (1820-1913)
tuch,young_man,PPN,United States historian (1912-1989),tuchwoman,,,tuchman,PPN,United States historian (1912-1989)
turco,young_man,N,a member of a Turkic people living in Turkmenistan and neighboring areas,turcowoman,,,turcoman,N,a member of a Turkic people living in Turkmenistan and neighboring areas
turko,young_man,N,a member of a Turkic people living in Turkmenistan and neighboring areas,turkowoman,,,turkoman,N,a member of a Turkic people living in Turkmenistan and neighboring areas
tv_news,young_man,N,someone who reports news stories via television,tv_newswoman,,,tv_newsman,N,someone who reports news stories via television
underclass,young_man,N,an undergraduate who is not yet a senior,underclasswoman,,,underclassman,N,an undergraduate who is not yet a senior
utility_,young_man,N,a baseball player valued for the ability to play at several positions,utility_woman,,,utility_man,N,a baseball player valued for the ability to play at several positions
vagn_walfrid_ek,young_man,PPN,Swedish oceanographer who recognized the role of the Coriolis effect on ocean currents (1874-1954),vagn_walfrid_ekwoman,,,vagn_walfrid_ekman,PPN,Swedish oceanographer who recognized the role of the Coriolis effect on ocean currents (1874-1954)
vice_chair,young_man,N,one ranking below or serving in the place of a chairman,vice_chairwoman,,,vice_chairman,N,one ranking below or serving in the place of a chairman
vigilance_,young_man,N,member of a vigilance committee,vigilance_woman,,,vigilance_man,N,member of a vigilance committee
visiting_fire,young_man,N,an important or distinguished visitor,visiting_firewoman,,,visiting_fireman,N,an important or distinguished visitor
walt_whit,young_man,PPN,United States poet who celebrated the greatness of America (1819-1892),walt_whitwoman,,,walt_whitman,PPN,United States poet who celebrated the greatness of America (1819-1892)
warehouse,young_man,N,a workman who manages or works in a warehouse,warehousewoman,,,warehouseman,N,a workman who manages or works in a warehouse
watch,young_man,N,a guard who keeps watch,watchwoman,,,watchman,N,a guard who keeps watch
water,young_man,N,someone who drives or rides in a boat,waterwoman,,,waterman,N,someone who drives or rides in a boat
wealthy_,young_man,M,a man who is wealthy,wealthy_woman,,,wealthy_man,M,a man who is wealthy
weather,young_man,,predicts the weather,weatherwoman,,,weatherman,,predicts the weather
welsh,young_man,N,a native or resident of Wales,welshwoman,,,welshman,N,a native or resident of Wales
whit,young_man,PPN,United States poet who celebrated the greatness of America (1819-1892),whitwoman,,,whitman,PPN,United States poet who celebrated the greatness of America (1819-1892)
widow,young_man,M,a man whose wife is dead especially one who has not remarried,widowwoman,,,widowman,M,a man whose wife is dead especially one who has not remarried
wild_,young_man,N,a person who is not socialized,wild_woman,,,wild_man,N,a person who is not socialized
william_averell_harri,young_man,PPN,United States financier who negotiated a treaty with the Soviet Union banning tests of nuclear weapons (1891-1986),william_averell_harriwoman,,,william_averell_harriman,PPN,United States financier who negotiated a treaty with the Soviet Union banning tests of nuclear weapons (1891-1986)
william_tecumseh_sher,young_man,PPN,United States general who was commander of all Union troops in the West; he captured Atlanta and led a destructive march to the sea that cut the Confederacy in two (1820-1891),william_tecumseh_sherwoman,,,william_tecumseh_sherman,PPN,United States general who was commander of all Union troops in the West; he captured Atlanta and led a destructive march to the sea that cut the Confederacy in two (1820-1891)
wing,young_man,N,the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,wingwoman,,,wingman,N,the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation
wire,young_man,N,a worker who installs and repairs electric wiring,wirewoman,,,wireman,N,a worker who installs and repairs electric wiring
wise_,young_man,N,a wise and trusted guide and advisor,wise_woman,,,wise_man,N,a wise and trusted guide and advisor
wolf,young_man,,a monster able to change appearance from human to wolf and back again,wolfwoman,,,wolfman,,a monster able to change appearance from human to wolf and back again
wood,young_man,N,someone who lives in the woods,woodwoman,,,woodman,N,someone who lives in the woods
woodrow_charles_her,young_man,PPN,United States jazz musician and bandleader (1913-1987),woodrow_charles_herwoman,,,woodrow_charles_herman,PPN,United States jazz musician and bandleader (1913-1987)
woods,young_man,N,someone who lives in the woods,woodswoman,,,woodsman,N,someone who lives in the woods
woody_her,young_man,PPN,United States jazz musician and bandleader (1913-1987),woody_herwoman,,,woody_herman,PPN,United States jazz musician and bandleader (1913-1987)
working_,young_man,N,an employee who performs manual or industrial labor,working_woman,,,working_man,N,an employee who performs manual or industrial labor
working,young_man,N,an employee who performs manual or industrial labor,workingwoman,,,workingman,N,an employee who performs manual or industrial labor
work,young_man,N,an employee who performs manual or industrial labor,workwoman,,,workman,N,an employee who performs manual or industrial labor
yard,young_man,N,worker in a railway yard,yardwoman,,,yardman,N,worker in a railway yard
yeo,young_man,N,officer in the (ceremonial) bodyguard of the British monarch,yeowoman,,,yeoman,N,officer in the (ceremonial) bodyguard of the British monarch
yes-,young_man,N,a person of unquestioning obedience,yes-woman,,,yes-man,N,a person of unquestioning obedience
zee,young_man,PPN,Dutch physicist honored for his research on the influence of magnetism on radiation which showed that light is radiated by the motion of charged particles in an atom (1865-1943),zeewoman,,,zeeman,PPN,Dutch physicist honored for his research on the influence of magnetism on radiation which showed that light is radiated by the motion of charged particles in an atom (1865-1943)
zuker,young_man,PPN,Israeli violinist (born in 1948),zukerwoman,,,zukerman,PPN,Israeli violinist (born in 1948)
